Packet Size,Count
0,0
10,0
20,0
30,0
40,0
50,0
60,118
70,221
80,25
90,21
100,58
110,590
120,9713
130,7639
140,761
150,918
160,606
170,324
180,318
190,205
200,345
210,315
220,543
230,647
240,830
250,1058
260,1315
270,1664
280,2055
290,2386
300,2712
310,3111
320,3357
330,3620
340,3628
350,3720
360,3615
370,3942
380,2990
390,3250
400,3054
410,3268
420,2444
430,2461
440,2274
450,2110
460,2180
470,1632
480,1661
490,1541
500,1551
510,1167
520,1220
530,1216
540,1060
550,1031
560,917
570,906
580,758
590,763
600,725
610,636
620,589
630,588
640,534
650,525
660,491
670,484
680,439
690,376
700,366
710,370
720,329
730,316
740,331
750,322
760,236
770,289
780,243
790,221
800,202
810,210
820,171
830,220
840,160
850,171
860,153
870,176
880,176
890,148
900,116
910,118
920,129
930,130
940,104
950,90
960,100
970,85
980,102
990,77
1000,76
1010,96
1020,74
1030,64
1040,61
1050,57
1060,70
1070,74
1080,122
1090,67
1100,58
1110,43
1120,36
1130,35
1140,44
1150,29
1160,27
1170,47
1180,33
1190,41
1200,32
1210,31
1220,37
1230,33
1240,880
1250,0
1260,0
1270,0
1280,0
1290,0
1300,0
1310,0
1320,13
1330,0
1340,0
1350,0
1360,0
1370,0
1380,0
1390,0
1400,0
1410,0
1420,0
1430,0
1440,0
1450,0
1460,0
1470,0
1480,0
1490,0
